location,total_vaccinations,people_vaccinated,people_fully_vaccinated,new_vaccinations,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,population
Afghanistan,,,,,,,,39835428
Africa,166178066,101748101,66578559,316892,12.1,7.41,4.85,1373486472
Albania,,,,,,,,2872934
Algeria,,,,,,,,44616626
Andorra,,,,,,,,77354
Angola,,,,,,,,33933611
Antigua and Barbuda,,,,,,,,98728
Argentina,53980661,30244964,23813404,160655,118.36,66.32,52.22,45605823
Armenia,,,,,,,,2968128
Aruba,157541,81871,75670,185,146.97,76.38,70.59,107195
Asia,4411927474,2513333924,1810710593,25275172,94.3,53.72,38.7,4678444992
Australia,30706847,17708561,12998286,166090,119.07,68.67,50.4,25788217
Austria,10953815,5788792,5481351,1422,121.13,64.01,60.61,9043072
Azerbaijan,8996778,4889178,4107600,33833,88,47.82,40.18,10223344
Bahamas,,,,,,,,396914
Bahrain,2660632,1168404,1128869,8923,152.18,66.83,64.57,1748295
Bangladesh,54191063,36162135,18028928,910415,32.59,21.74,10.84,166303494
Barbados,254344,142182,112162,790,88.4,49.42,38.98,287708
Belarus,,,,,,,,9442867
Belgium,16713834,8632998,8471889,168,143.68,74.22,72.83,11632334
Belize,,,,,,,,404915
Benin,,,,,,,,12451031
Bhutan,1087753,585479,502274,,139.47,75.07,64.4,779900
Bolivia,,,,,,,,11832936
Bosnia and Herzegovina,,,,,,,,3263459
Botswana,,,,,,,,2397240
Brazil,249340259,154414034,99584719,1138680,116.52,72.16,46.54,213993441
Brunei,542019,330410,211609,,122.76,74.83,47.93,441532
Bulgaria,2588714,,1361629,1219,37.54,,19.74,6896655
Burkina Faso,,,,,,,,21497097
Burundi,,,,,,,,12255429
Cambodia,24861031,13492406,11498517,189734,146.7,79.62,67.85,16946446
Cameroon,,,,,,,,27224262
Canada,57069440,29362882,27430036,49548,149.91,77.13,72.06,38067913
Cape Verde,,,,,,,,561901
Cayman Islands,,,,,,,,66498
Central African Republic,,,,,,,,4919987
Chad,,,,,,,,16914985
Chile,33392873,15923232,14216219,392,173.81,82.88,74,19212362
China,2221245000,,,1117000,153.8,,,1444216102
Colombia,43007509,27885125,18593793,121977,83.89,54.39,36.27,51265841
Comoros,,,,,,,,888456
Congo,,,,,,,,5657017
Costa Rica,,,,,,,,5139053
Cote d'Ivoire,,,,,,,,27053629
Croatia,3486793,1852899,1633894,616,85.43,45.4,40.03,4081657
Cuba,22982472,9628835,6238972,106623,203.07,85.08,55.13,11317498
Curacao,188871,98611,90260,53,114.61,59.84,54.77,164796
Cyprus,1182072,598723,562207,,131.93,66.82,62.75,896005
Czechia,11869796,6109698,6002810,1488,110.68,56.97,55.97,10724553
Democratic Republic of Congo,,,,,,,,92377986
Denmark,8804552,4461774,4387385,,151.46,76.75,75.47,5813302
Djibouti,,,,,,,,1002197
Dominica,,,,,,,,72172
Dominican Republic,12125221,6134235,4973191,8649,110.7,56,45.4,10953714
Ecuador,21165186,11567583,9984970,763,118.32,64.67,55.82,17888474
Egypt,,,,,,,,104258327
El Salvador,7947486,4188803,3555188,,121.92,64.26,54.54,6518500
Equatorial Guinea,,,,,,,,1449891
Eritrea,,,,,,,,3601462
Estonia,1388942,765686,719591,1212,104.81,57.78,54.3,1325188
Eswatini,258552,227080,219736,,22.05,19.37,18.74,1172369
Ethiopia,3879071,2958714,920357,5075,3.29,2.51,0.78,117876226
Europe,815547969,429795826,398870233,613946,108.89,57.39,53.26,748962983
European Union,574645842,303449907,284690216,304411,128.5,67.86,63.66,447189915
Faeroe Islands,75390,38663,36727,,153.69,78.82,74.87,49053
Fiji,,,,,,,,902899
Finland,7786863,4163232,3623631,5100,140.35,75.04,65.31,5548361
France,96314226,50656600,45085205,13889,142.55,74.98,66.73,67564251
French Polynesia,,,,,,,,282534
Gabon,,,,,,,,2278829
Gambia,,,,,,,,2486937
Georgia,1874845,1000785,874060,12092,47.11,25.15,21.96,3979773
Germany,109065234,57001947,54274700,16272,129.99,67.94,64.69,83900471
Ghana,,,,,,,,31732128
Gibraltar,,,,,,,,33691
Greece,12298000,6497378,6244676,1127,118.58,62.65,60.21,10370747
Greenland,,,,,,,,56868
Grenada,,,,,,,,113015
Guatemala,7650606,4844170,2806436,31948,41.92,26.54,15.38,18249868
Guernsey,,,,,,,,67052
Guinea,1902897,1286118,616779,,14.1,9.53,4.57,13497237
Guinea-Bissau,,,,,,,,2015490
Guyana,,,,,,,,790329
Haiti,96073,69379,27035,,0.83,0.6,0.23,11541683
Honduras,,,,,,,,10062994
Hong Kong,8819936,4535354,4284582,18508,116.78,60.05,56.73,7552800
Hungary,,5909819,5679589,,,61.34,58.95,9634162
Iceland,,,,,,,,343360
India,951139832,683498355,267641477,8105914,68.26,49.05,19.21,1393409033
Indonesia,157711272,100189038,57522234,1429314,57.07,36.25,20.81,276361788
International,,,,,,,,
Iran,64401471,45075271,19326200,,75.74,53.01,22.73,85028760
Iraq,,,,,,,,41179351
Ireland,7262780,3784438,3714383,1293,145.75,75.95,74.54,4982904
Isle of Man,129494,65485,,5,151.61,76.67,,85410
Israel,15626922,6184697,5685191,29621,177.79,70.36,64.68,8789776
Italy,86321768,45781460,41707772,84399,142.99,75.84,69.09,60367471
Jamaica,836309,551804,319092,,28.13,18.56,10.73,2973462
Japan,174631850,93169823,81462027,,138.54,73.91,64.63,126050796
Jersey,,,,,,,,101073
Jordan,,,,,,,,10269022
Kazakhstan,14734747,7846324,6888423,38193,77.57,41.31,36.26,18994958
Kenya,,,,,,,,54985702
Kiribati,,,,,,,,121388
Kosovo,1447040,823857,623183,14905,81.51,46.4,35.1,1775378
Kuwait,,,,,,,,4328553
Kyrgyzstan,1534397,873990,659063,6893,23.15,13.19,9.94,6628347
Laos,,,,,,,,7379358
Latvia,1701165,960968,896626,3019,91.12,51.47,48.03,1866934
Lebanon,3026121,1663481,1362640,5566,44.7,24.57,20.13,6769151
Lesotho,383341,347836,339506,,17.75,16.11,15.72,2159067
Liberia,,,,,,,,5180208
Libya,,,,,,,,6958538
Liechtenstein,47078,24745,23015,0,123.07,64.69,60.16,38254
Lithuania,3273952,1766238,1635058,461,121.71,65.66,60.79,2689862
Luxembourg,799074,421719,,6,125.88,66.43,,634814
Madagascar,,,,,,,,28427333
Malawi,1115091,867591,508367,4621,5.68,4.42,2.59,19647681
Malaysia,45650714,24457939,21305196,129518,139.28,74.62,65,32776195
Maldives,739914,393133,346781,859,136.11,72.32,63.79,543620
Mali,,,,,,,,20855724
Malta,840675,423849,423566,1039,163.38,82.37,82.32,514564
Marshall Islands,,,,,,,,59618
Mauritania,,,,,,,,4775110
Mauritius,,,,,,,,1273428
Mexico,107381477,66680553,48482445,227123,82.43,51.19,37.22,130262220
Micronesia (country),,,,,,,,116255
Moldova,1437198,,812959,3295,35.72,,20.2,4024025
Monaco,,,,,,,,39520
Mongolia,4386477,2252748,2133729,,131.75,67.66,64.09,3329282
Montenegro,473328,250322,223006,705,75.36,39.86,35.51,628051
Morocco,,,,,,,,37344787
Mozambique,,,,,,,,32163045
Myanmar,,,,,,,,54806014
Namibia,,,,,,,,2587344
Nepal,14653146,8202502,6450644,78927,49.38,27.64,21.74,29674920
Netherlands,,,,,,,,17173094
New Caledonia,,,,,,,,288217
New Zealand,5833354,3448136,2385218,42274,120.01,70.94,49.07,4860642
Nicaragua,,,,,,,,6702379
Niger,646086,429471,216615,,2.57,1.71,0.86,25130810
Nigeria,,,,,,,,211400704
North America,638909010,350480863,289922269,518282,107.1,58.75,48.6,596581283
North Macedonia,1544531,795968,748563,,74.16,38.22,35.94,2082661
Norway,7876188,4184696,3691492,8,144.1,76.56,67.54,5465629
Oceania,38896244,22576865,16319379,208364,90,52.24,37.76,43219954
Oman,,,,,,,,5223376
Pakistan,,,,,,,,225199929
Palau,,,,,,,,18174
Palestine,2301812,,1176037,,44.07,,22.52,5222756
Panama,5265750,2949561,2312785,5279,120.18,67.32,52.78,4381583
Papua New Guinea,,,,,,,,9119005
Paraguay,,,,,,,,7219641
Peru,30010022,16971040,13038982,177301,89.96,50.87,39.09,33359415
Philippines,49673491,,23186969,,44.73,,20.88,111046910
Poland,,,,,,,,37797000
Portugal,,,,,,,,10167923
Qatar,4767210,,,6334,162.67,,,2930524
Romania,10763280,6130679,5531778,35417,56.27,32.05,28.92,19127772
Russia,94491689,49463056,45028633,202225,64.76,33.9,30.86,145912022
Rwanda,3888869,2192888,1695981,,29.29,16.52,12.77,13276517
Saint Kitts and Nevis,,,,,,,,53546
Saint Lucia,,,,,,,,184401
Saint Vincent and the Grenadines,,,,,,,,111269
Samoa,,,,,,,,200144
San Marino,,,,,,,,34010
Sao Tome and Principe,,,,,,,,223364
Saudi Arabia,43615548,23684473,19931075,279885,123.41,67.02,56.4,35340680
Senegal,,,,,,,,17196308
Serbia,,,,,,,,6908224
Seychelles,,,,,,,,98910
Sierra Leone,,,,,,,,8141343
Singapore,9670942,4716546,4605568,31424,164.01,79.99,78.1,5896684
Slovakia,4743633,2471263,2272370,1143,86.87,45.26,41.61,5460726
Slovenia,2175259,1135303,1039956,239,104.64,54.62,50.03,2078723
Solomon Islands,,,,,,,,703995
Somalia,,,,,,,,16359500
South Africa,,,,,,,,60041996
South America,466198539,277477947,193884651,1602795,107.35,63.9,44.65,434260137
South Korea,68922688,39930566,30452165,20587,134.34,77.83,59.35,51305184
South Sudan,,,,,,,,11381377
Spain,70822813,37816635,36937743,,151.51,80.9,79.02,46745211
Sri Lanka,27058302,14698140,12360162,118549,125.87,68.37,57.5,21497306
Sudan,,,,,,,,44909351
Suriname,417831,237707,180124,2778,70.6,40.17,30.44,591798
Sweden,,,,,,,,10160159
Switzerland,10665691,5607305,5208102,3241,122.38,64.34,59.76,8715494
Syria,,,,,,,,18275704
Taiwan,,,,,,,,23855008
Tajikistan,,,,,,,,9749625
Tanzania,,,,,,,,61498438
Thailand,59539624,34782627,23055555,230852,85.12,49.72,32.96,69950844
Timor,,,,,,,,1343875
Togo,,,,,,,,8478242
Tokelau,,,,,,,,1368
Trinidad and Tobago,1143228,596696,546532,4697,81.46,42.52,38.94,1403374
Tunisia,8471643,5278579,4073857,40832,70.98,44.22,34.13,11935764
Turkey,112360409,54497626,46245192,135057,132.12,64.08,54.38,85042736
Uganda,,,,,,,,47123533
Ukraine,13683903,7548871,6135032,39060,31.48,17.37,14.11,43466822
United Arab Emirates,20479211,9445401,8426682,25314,204.97,94.54,84.34,9991083
United Kingdom,94376101,49186920,45189181,41557,138.37,72.11,66.25,68207114
United States of America,,,,,,,,332915074
Uruguay,6397739,2742766,2595983,249,183.57,78.7,74.49,3485152
Uzbekistan,,,,,,,,33935765
Vanuatu,,,,,,,,314464
Vatican,,,,,,,,812
Venezuela,,,,,,,,28704947
Vietnam,54279564,38698136,15581428,,55.29,39.42,15.87,98168829
Wallis and Futuna,,,,,,,,11094
World,6537657302,3695413526,2776285684,28535451,83.02,46.93,35.25,7874965730
Yemen,,,,,,,,30490639
Zambia,,,,,,,,18920657
Zimbabwe,5581524,3171399,2410125,9206,36.98,21.01,15.97,15092171
