location,date,total_cases,new_cases,total_deaths,new_deaths,total_cases_per_million,new_cases_per_million,total_deaths_per_million,new_deaths_per_million,population
Africa,1/01/2021,2788199,27749,66126,658,2030.016,20.203,48.145,0.479,1373486472
Africa,1/02/2021,3582301,12703,91479,509,2608.181,9.249,66.603,0.371,1373486472
Africa,1/03/2021,3906066,8789,104021,315,2843.906,6.399,75.735,0.229,1373486472
Africa,1/04/2021,4239522,22219,113165,408,3086.686,16.177,82.393,0.297,1373486472
Africa,1/05/2021,4565641,7977,122067,284,3324.125,5.808,88.874,0.207,1373486472
Africa,1/06/2021,4850434,10139,130954,320,3531.476,7.382,95.344,0.233,1373486472
Africa,1/07/2021,5547416,42903,143728,793,4038.93,31.237,104.645,0.577,1373486472
Africa,1/08/2021,6743250,34210,170987,920,4909.586,24.907,124.491,0.67,1373486472
Africa,1/09/2021,7821187,30793,196917,639,5694.404,22.42,143.37,0.465,1373486472
Africa,1/10/2021,8328025,41742,211593,1186,6063.42,30.391,154.055,0.863,1373486472
Asia,1/01/2021,20811596,95351,339233,1579,4448.4,20.381,72.51,0.338,4678444992
Asia,1/02/2021,23179554,65867,374310,985,4954.542,14.079,80.007,0.211,4678444992
Asia,1/03/2021,25091597,69008,399710,736,5363.234,14.75,85.437,0.157,4678444992
Asia,1/04/2021,28705673,198134,432199,1424,6135.73,42.35,92.381,0.304,4678444992
Asia,1/05/2021,40023990,497276,528692,5178,8554.977,106.291,113.006,1.107,4678444992
Asia,1/06/2021,51473778,207507,693780,4387,11002.326,44.354,148.293,0.938,4678444992
Asia,1/07/2021,55980111,157392,797225,2391,11965.538,33.642,170.404,0.511,4678444992
Asia,1/08/2021,62268051,255807,903459,3942,13309.561,54.678,193.111,0.843,4678444992
Asia,1/09/2021,70361300,256068,1043355,5442,15039.463,54.734,223.013,1.163,4678444992
Asia,1/10/2021,75969014,147996,1128603,1806,16238.091,31.634,241.235,0.386,4678444992
Europe,1/01/2021,24017022,209564,549503,3783,32067.035,279.806,733.685,5.051,748962983
Europe,1/02/2021,30528111,170743,708579,4460,40760.507,227.973,946.08,5.955,748962983
Europe,1/03/2021,34434120,101803,817600,2739,45975.73,135.925,1091.643,3.657,748962983
Europe,1/04/2021,40100339,251537,919070,3874,53541.149,335.847,1227.123,5.172,748962983
Europe,1/05/2021,44979278,114748,1019117,2443,60055.409,153.209,1360.704,3.262,748962983
Europe,1/06/2021,46937028,48086,1075674,1343,62669.356,64.203,1436.218,1.793,748962983
Europe,1/07/2021,48340057,78691,1106298,1033,64542.652,105.067,1477.106,1.379,748962983
Europe,1/08/2021,51898584,87238,1136867,936,69293.924,116.478,1517.921,1.25,748962983
Europe,1/09/2021,55876186,156851,1178380,1695,74604.737,209.424,1573.349,2.263,748962983
Europe,1/10/2021,59577492,141504,1230189,1978,79546.644,188.933,1642.523,2.641,748962983
North America,1/01/2021,23313544,185842,515835,2963,39078.571,311.512,864.652,4.967,596581283
North America,1/02/2021,30275283,144344,653690,2873,50747.96,241.952,1095.727,4.816,596581283
North America,1/03/2021,33044574,65355,750621,2054,55389.894,109.549,1258.204,3.443,596581283
North America,1/04/2021,35284212,94418,808212,1629,59144.014,158.265,1354.739,2.731,596581283
North America,1/05/2021,37645673,59209,848927,1098,63102.337,99.247,1422.986,1.84,596581283
North America,1/06/2021,38993826,38929,882911,792,65362.134,65.253,1479.951,1.328,596581283
North America,1/07/2021,39766792,31466,902888,704,66657.794,52.744,1513.437,1.18,596581283
North America,1/08/2021,41871577,61111,924473,411,70185.871,102.435,1549.618,0.689,596581283
North America,1/09/2021,47453062,243633,981258,3610,79541.654,408.382,1644.802,6.051,596581283
North America,1/10/2021,52457134,184992,1064352,2939,87929.567,310.087,1784.085,4.926,596581283
Oceania,1/01/2021,31475,35,945,0,728.252,0.81,21.865,0,43219954
Oceania,1/02/2021,32077,24,945,0,742.18,0.555,21.865,0,43219954
Oceania,1/03/2021,32819,102,951,2,759.348,2.36,22.004,0.046,43219954
Oceania,1/04/2021,38043,132,997,0,880.218,3.054,23.068,0,43219954
Oceania,1/05/2021,43712,142,1054,8,1011.385,3.286,24.387,0.185,43219954
Oceania,1/06/2021,49212,38,1103,0,1138.641,0.879,25.521,0,43219954
Oceania,1/07/2021,55408,472,1134,3,1282,10.921,26.238,0.069,43219954
Oceania,1/08/2021,85654,865,1385,4,1981.816,20.014,32.045,0.093,43219954
Oceania,1/09/2021,125174,1921,1742,15,2896.209,44.447,40.305,0.347,43219954
Oceania,1/10/2021,185460,2704,2214,22,4291.074,62.564,51.226,0.509,43219954
South America,1/01/2021,13241727,47568,419114,1073,30492.615,109.538,965.122,2.471,434260137
South America,1/02/2021,15925451,47615,480464,1829,36672.606,109.646,1106.397,4.212,434260137
South America,1/03/2021,18026103,58038,544713,2006,41509.919,133.648,1254.347,4.619,434260137
South America,1/04/2021,21295479,145939,648714,5074,49038.531,336.064,1493.837,11.684,434260137
South America,1/05/2021,24996530,118314,781915,4276,57561.189,272.45,1800.568,9.847,434260137
South America,1/06/2021,28945334,158451,898853,4217,66654.366,364.876,2069.849,9.711,434260137
South America,1/07/2021,33011787,130064,1008482,3767,76018.46,299.507,2322.299,8.675,434260137
South America,1/08/2021,35549124,40598,1090850,1057,81861.357,93.488,2511.974,2.434,434260137
South America,1/09/2021,36922209,37641,1131322,1104,85023.252,86.678,2605.171,2.542,434260137
South America,1/10/2021,37797322,25497,1155626,675,87038.433,58.714,2661.138,1.554,434260137
